Date,count,VIn CH1,sigfig,VInSig,VOut CH2,sigfig,VOutSig,w,wSig,wVar,Frequency Hz,sigfig,FeqSig Hz,Period s,PeriodSig s,Timediff TD s,TDSig s,Phase Ch2Ch1 deg,PhaseVar deg,PhaseSig deg
4/27,1,0.03275,,0.001,0.004600,,0.001,950017.62,6283.19,39478417.60,151200.00,,1000,6.40E-06,1.00E-07,1.10E-06,1.00E-07,-62,32.58,5.707479408
,2,0.03280,,0.001,0.005600,,0.001,1041752.12,6283.19,39478417.60,165800.00,,1000,6.00E-06,1.00E-07,9.00E-07,1.00E-07,-54,36.81,6.067124525
,3,0.03280,,0.001,0.006000,,0.001,1080079.55,6283.19,39478417.60,171900.00,,1000,5.90E-06,1.00E-07,8.00E-07,1.00E-07,-49,37.92,6.157530862
,4,0.03280,,0.001,0.006900,,0.001,1122176.90,6283.19,39478417.60,178600.00,,1000,5.60E-06,1.00E-07,6.00E-07,1.00E-07,-39,41.80,6.465364825
,5,0.03275,,0.001,0.007700,,0.001,1163017.60,6283.19,39478417.60,185100.00,,1000,5.30E-06,1.00E-07,5.00E-07,1.00E-07,-34,46.55,6.822612169
,6,0.03240,,0.001,0.008600,,0.001,1203229.99,6283.19,39478417.60,191500.00,,1000,5.20E-06,1.00E-07,4.00E-07,1.00E-07,-28,48.21,6.943529189
,7,0.00342,,0.001,0.009700,,0.001,1266690.16,6283.19,39478417.60,201600.00,,1000,5.00E-06,1.00E-07,1.00E-07,1.00E-07,-7,51.86,7.201439856
,8,0.03280,,0.001,0.009800,,0.001,1276743.25,6283.19,39478417.60,203200.00,,1000,5.00E-06,1.00E-07,1.00E-07,1.00E-07,7,51.86,7.201439856
,9,0.03280,,0.001,0.010100,,0.001,1314442.37,6283.19,39478417.60,209200.00,,1000,4.80E-06,1.00E-07,1.00E-07,1.00E-07,8,56.27,7.501627428
,10,0.03280,,0.001,0.009700,,0.001,1345229.97,6283.19,39478417.60,214100.00,,1000,4.70E-06,1.00E-07,2.00E-07,1.00E-07,15,58.78,7.666506211
,11,0.03280,,0.001,0.008900,,0.001,1402406.96,6283.19,39478417.60,223200.00,,1000,4.40E-06,1.00E-07,4.00E-07,1.00E-07,33,67.50,8.215557781
,12,0.03280,,0.001,0.007700,,0.001,1460840.58,6283.19,39478417.60,232500.00,,1000,4.30E-06,1.00E-07,6.00E-07,1.00E-07,50,71.46,8.453202385
,13,0.03280,,0.001,0.007100,,0.001,1495398.10,6283.19,39478417.60,238000.00,,1000,4.20E-06,1.00E-07,7.00E-07,1.00E-07,60,75.51,8.689660758
